proyecto_id,empresa,pais_id,pais,provincia_id,provincia,tipo_de_proyecto,fecha_inicio
100,INSTITUTO DE SANIDAD GANADERA SRL,ARG,Argentina,02,CABA,Tecnología e Innovación,2011-06-08
8607,INSTITUTO FRENOPÁTICO S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2011-06-16
12522,INSTITUTO MODELO PRIVADO DE GINECOLOGIA Y OBSTETRICIA S.A.,ARG,Argentina,14,Córdoba,Tecnología e Innovación,2011-06-28
12454,INSTITUTO SEROTERAPICO ARGENTINO S.A.I.C.,ARG,Argentina,02,CABA,Tecnología e Innovación,2011-03-15
12102,INSUGA S.A.,ARG,Argentina,82,Santa Fe,Tecnología e Innovación,2007-06-06
10078,INSUGA S.A.,ARG,Argentina,82,Santa Fe,Tecnología e Innovación,2009-05-05
8732,INSURANCE CONSULTING S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2012-02-15
10536,INTEC S.R.L.,ARG,Argentina,14,Córdoba,Tecnología e Innovación,2010-05-13
12502,INTEC S.R.L.,ARG,Argentina,14,Córdoba,Tecnología e Innovación,2011-02-25
111,INTECBA ARGENTINA SRL,ARG,Argentina,06,Buenos Aires,Tecnología e Innovación,2011-08-18
8257,INTECH COMPUTACIÓN SRL,ARG,Argentina,02,CABA,Tecnología e Innovación,2007-11-13
6044,INTECH COMPUTACIÓN SRL,ARG,Argentina,02,CABA,Tecnología e Innovación,2009-05-07
6510,INTEGRAL SOFTWARE S.R.L.,ARG,Argentina,30,Entre Ríos,Tecnología e Innovación,2011-03-11
8005,INTEGRAL SOFTWARE S.R.L.,ARG,Argentina,30,Entre Ríos,Tecnología e Innovación,2013-11-20
9775,INTEGRISYS S.A.,ARG,Argentina,50,Mendoza,Tecnología e Innovación,2013-02-25
9818,INTELAP S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2006-07-05
12140,INTELECTRIC SA,ARG,Argentina,70,San Juan,Tecnología e Innovación,2008-06-10
12482,INTELECTRIC SA,ARG,Argentina,70,San Juan,Tecnología e Innovación,2011-02-23
12618,INTELECTRIC SA,ARG,Argentina,70,San Juan,Tecnología e Innovación,2012-03-18
6116,INTELIGENCIA Y TECNOLOGIA S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2009-09-07
6481,INTELIGENCIA Y TECNOLOGIA S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2010-12-16
